id,label,avg_acc,learning_success,forgetting,stability_gap,peak_drop,first_drop,last_drop,acc_auc_ratio_01_mean
0,Baseline,25.35,74.2,54.27777777777778,17.323777777777778,24.511111111111113,22.794444444444444,11.75,0.33257249338383976
0.01,lambda0.01,25.75,73.575,53.138888888888886,17.669999999999998,25.16111111111111,23.25,11.53888888888889,0.32955794828772084
0.03,lambda0.03,26.075,72.975,52.111111111111114,18.10066666666667,26.1,23.816666666666666,11.222222222222221,0.3181163499396848
0.07,lambda0.07,24.325,72.275,53.27777777777778,18.953555555555553,27.144444444444446,24.93888888888889,11.816666666666666,0.2901451264683094
0.1,lambda0.1,22.35,71.6,54.72222222222222,18.126,26.727777777777778,23.85,12.05,0.27114066925688024
0.3,lambda0.3,16.4,66.125,55.25,15.305555555555555,22.711111111111112,20.13888888888889,11.855555555555556,0.21647627350957938
0.7,lambda0.7,12.85,62.275,54.916666666666664,13.713777777777775,19.977777777777778,18.044444444444444,11.661111111111111,0.190246525697727
1.0,lambda1.0,11.575,60.875,54.77777777777778,13.084666666666665,18.905555555555555,17.216666666666665,11.605555555555556,0.18617261548433595
2.0,lambda2.0,10.05,58.0,53.27777777777778,11.931999999999999,17.0,15.7,11.116666666666667,0.1790996270466164
5.0,lambda5.0,8.775,55.8,52.25,10.897555555555556,15.505555555555556,14.338888888888889,10.894444444444444,0.17339477515613672
15.0,lambda15.0,7.75,54.1,51.5,9.499999999999998,13.916666666666666,12.5,10.688888888888888,0.17272703016468646
40.0,lambda40.0,7.4,53.55,51.27777777777778,9.035555555555554,13.188888888888888,11.88888888888889,10.622222222222222,0.17279046946834611
