id,label,avg_acc,learning_success,forgetting,stability_gap,peak_drop,first_drop,last_drop,acc_auc_ratio_01_mean
0,Baseline,25.35,74.2,54.27777777777778,17.323777777777778,24.511111111111113,22.794444444444444,11.75,0.33257249338383976
0.01,rho0.01,31.125,68.225,41.22222222222222,20.199111111111108,29.083333333333332,26.57777777777778,8.511111111111111,0.3397104045654162
0.015,rho0.015,30.1,67.775,41.861111111111114,20.300444444444445,28.8,26.711111111111112,8.683333333333334,0.3385055922249033
0.02,rho0.02,30.475,68.15,41.861111111111114,20.06822222222222,28.544444444444444,26.405555555555555,8.988888888888889,0.3402182404179648
0.03,rho0.03,31.625,68.625,41.111111111111114,20.055555555555557,28.77777777777778,26.38888888888889,8.75,0.34082643602809487
0.05,rho0.05,30.475,68.625,42.388888888888886,20.190666666666665,28.63888888888889,26.566666666666666,8.805555555555555,0.34307449544834945
0.07,rho0.07,31.5,68.8,41.44444444444444,20.33422222222222,28.522222222222222,26.755555555555556,8.755555555555556,0.3433055972533919
0.09,rho0.09,31.325,68.75,41.583333333333336,20.068222222222225,28.272222222222222,26.405555555555555,8.877777777777778,0.34061115718502827
0.1,rho0.1,30.525,68.35,42.02777777777778,20.01333333333333,28.61111111111111,26.333333333333332,8.738888888888889,0.3416303602796499
0.5,rho0.5,29.65,65.425,39.75,19.01688888888889,27.233333333333334,25.022222222222222,8.733333333333333,0.33383346943403147
1.0,rho1.0,28.45,54.325,30.47222222222222,19.18577777777778,27.516666666666666,25.244444444444444,6.616666666666666,0.3193841146570013
2.0,rho2.0,26.2,40.4,21.72222222222222,19.527777777777782,27.233333333333334,25.694444444444443,4.9,0.30061584863310237
5.0,rho5.0,32.45,32.675,9.472222222222221,19.87822222222222,27.905555555555555,26.155555555555555,2.45,0.30033726847331604
